"Illinois","Quincy IL-Hannibal MO-Keokuk IA","717"
"Illinois","Rockford IL","610"
"Illinois","St. Louis MO","609"
"Illinois","Terre Haute IN","581"
"Indiana","Chicago IL","602"
"Indiana","Cincinnati OH","515"
"Indiana","Dayton OH","542"
"Indiana","Evansville IN","649"
"Indiana","Ft. Wayne IN","509"
"Indiana","Indianapolis IN","527"
"Indiana","Lafayette IN","582"
"Indiana","Louisville KY","529"
"Indiana","South Bend-Elkhart IN","588"
"Indiana","Terre Haute IN","581"
"Iowa","Cedar Rapids-Waterloo-Iowa City & Dubuque IA","637"
"Iowa","Davenport IA-Rock Island-Moline IL","682"
"Iowa","Des Moines-Ames IA","679"
"Iowa","Mankato MN","737"
"Iowa","Omaha NE","652"
"Iowa","Ottumwa IA-Kirksville MO","631"
"Iowa","Quincy IL-Hannibal MO-Keokuk IA","717"
"Iowa","Rochester MN-Mason City IA-Austin MN","611"
"Iowa","Sioux City IA","624"
"Iowa","Sioux Falls(Mitchell) SD","725"
"Kansas","Amarillo TX","634"
"Kansas","Joplin MO-Pittsburg KS","603"
"Kansas","Kansas City MO","616"
"Kansas","Lincoln & Hastings-Kearney NE","722"
"Kansas","St. Joseph MO","638"
"Kansas","Topeka KS","605"
"Kansas","Tulsa OK","671"
"Kansas","Wichita-Hutchinson KS","678"
"Kentucky","Bowling Green KY","736"
"Kentucky","Charleston-Huntington WV","564"
"Kentucky","Cincinnati OH","515"
"Kentucky","Evansville IN","649"
"Kentucky","Knoxville TN","557"
"Kentucky","Lexington KY","541"
"Kentucky","Louisville KY","529"
"Kentucky","Nashville TN","659"
"Kentucky","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632"
"Kentucky","Tri-Cities TN-VA","531"
"Louisiana","Alexandria LA","644"
"Louisiana","Baton Rouge LA","716"
"Louisiana","Lafayette LA","642"
"Louisiana","Lake Charles LA","643"
"Louisiana","Monroe LA-El Dorado AR","628"
"Louisiana","New Orleans LA","622"
"Louisiana","Shreveport LA","612"
"Maine","Bangor ME","537"
"Maine","Portland-Auburn ME","500"
"Maine","Presque Isle ME","552"
"Maryland","Baltimore MD","512"
"Maryland","Pittsburgh PA","508"
"Maryland","Salisbury MD","576"
"Maryland","Washington DC (Hagerstown MD)","511"
"Massachusetts","Albany-Schenectady-Troy NY","532"
"Massachusetts","Boston MA-Manchester NH","506"
"Massachusetts","Providence RI-New Bedford MA","521"
"Massachusetts","Springfield-Holyoke MA","543"
"Michigan","Alpena MI","583"
"Michigan","Detroit MI","505"
"Michigan","Duluth MN-Superior WI","676"
"Michigan","Flint-Saginaw-Bay City MI","513"
"Michigan","Grand Rapids-Kalamazoo-Battle Creek MI","563"
"Michigan","Green Bay-Appleton WI","658"
"Michigan","Lansing MI","551"
"Michigan","Marquette MI","553"
"Michigan","South Bend-Elkhart IN","588"
"Michigan","Toledo OH","547"
"Michigan","Traverse City-Cadillac MI","540"
"Minnesota","Duluth MN-Superior WI","676"
"Minnesota","Fargo-Valley City ND","724"
"Minnesota","La Crosse-Eau Claire WI","702"
"Minnesota","Mankato MN","737"
"Minnesota","Minneapolis-St. Paul MN","613"
"Minnesota","Rochester MN-Mason City IA-Austin MN","611"
"Minnesota","Sioux Falls(Mitchell) SD","725"
"Mississippi","Baton Rouge LA","716"
"Mississippi","Biloxi-Gulfport MS","746"
"Mississippi","Columbus-Tupelo-West Point MS","673"
"Mississippi","Greenwood-Greenville MS","647"
"Mississippi","Hattiesburg-Laurel MS","710"
"Mississippi","Jackson MS","718"
"Mississippi","Memphis TN","640"
"Mississippi","Meridian MS","711"
"Mississippi","Mobile AL-Pensacola (Ft. Walton Beach) FL","686"
"Mississippi","New Orleans LA","622"
"Missouri","Columbia-Jefferson City MO","604"
"Missouri","Des Moines-Ames IA","679"
"Missouri","Joplin MO-Pittsburg KS","603"
"Missouri","Kansas City MO","616"
"Missouri","Memphis TN","640"
"Missouri","Omaha NE","652"
"Missouri","Ottumwa IA-Kirksville MO","631"
"Missouri","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632"
"Missouri","Quincy IL-Hannibal MO-Keokuk IA","717"
"Missouri","Springfield MO","619"
"Missouri","St. Joseph MO","638"
"Missouri","St. Louis MO","609"
"Montana","Billings MT","756"
"Montana","Butte-Bozeman MT","754"
"Montana","Glendive MT","798"
"Montana","Great Falls MT","755"
"Montana","Helena MT","766"
"Montana","Minot-Bismarck-Dickinson(Williston) ND","687"
"Montana","Missoula MT","762"
"Montana","Rapid City SD","764"
"Montana","Spokane WA","881"
"Nebraska","Cheyenne WY-Scottsbluff NE","759"
"Nebraska","Lincoln & Hastings-Kearney NE","722"
"Nebraska","North Platte NE","740"
"Nebraska","Omaha NE","652"
"Nebraska","Rapid City SD","764"
"Nebraska","Sioux City IA","624"
"Nebraska","Wichita-Hutchinson KS","678"
"Nevada","Las Vegas NV","839"
"Nevada","Reno NV","811"
"Nevada","Salt Lake City UT","770"
"New Hampshire","Boston MA-Manchester NH","506"
"New Hampshire","Burlington VT-Plattsburgh NY","523"
"New Hampshire","Portland-Auburn ME","500"
"New Jersey","New York NY","501"
"New Jersey","Philadelphia PA","504"
"New Mexico","Albuquerque-Santa Fe NM","790"
"New Mexico","Amarillo TX","634"
"New Mexico","El Paso TX","765"
"New Mexico","Odessa-Midland TX","633"
"New York","Albany-Schenectady-Troy NY","532"
"New York","Binghamton NY","502"
"New York","Buffalo NY","514"
"New York","Burlington VT-Plattsburgh NY","523"
"New York","Elmira NY","565"
"New York","New York NY","501"
"New York","Rochester NY","538"
"New York","Syracuse NY","555"
"New York","Utica NY","526"
"New York","Watertown NY","549"
"North Carolina","Atlanta GA","524"
"North Carolina","Charlotte NC","517"
"North Carolina","Chattanooga TN","575"
"North Carolina","Florence-Myrtle Beach SC","570"
"North Carolina","Greensboro-High Point-Winston Salem NC","518"
"North Carolina","Greenville-New Bern-Washington NC","545"
"North Carolina","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567"
"North Carolina","Norfolk-Portsmouth-Newport News VA","544"
"North Carolina","Raleigh-Durham (Fayetteville) NC","560"
"North Carolina","Wilmington NC","550"
"North Dakota","Fargo-Valley City ND","724"
"North Dakota","Minot-Bismarck-Dickinson(Williston) ND","687"
"Ohio","Charleston-Huntington WV","564"
"Ohio","Cincinnati OH","515"
"Ohio","Cleveland-Akron (Canton) OH","510"
"Ohio","Columbus OH","535"
"Ohio","Dayton OH","542"
"Ohio","Ft. Wayne IN","509"
"Ohio","Lima OH","558"
"Ohio","Parkersburg WV","597"
"Ohio","Toledo OH","547"
"Ohio","Wheeling WV-Steubenville OH","554"
"Ohio","Youngstown OH","536"
"Ohio","Zanesville OH","596"
"Oklahoma","Amarillo TX","634"
"Oklahoma","Ft. Smith-Fayetteville-Springdale-Rogers AR","670"
"Oklahoma","Joplin MO-Pittsburg KS","603"
"Oklahoma","Oklahoma City OK","650"
"Oklahoma","Sherman TX-Ada OK","657"
"Oklahoma","Shreveport LA","612"
"Oklahoma","Tulsa OK","671"
"Oklahoma","Wichita Falls TX & Lawton OK","627"
"Oregon","Bend OR","821"
"Oregon","Boise ID","757"
"Oregon","Eugene OR","801"
"Oregon","Medford-Klamath Falls OR","813"
"Oregon","Portland OR","820"
"Oregon","Spokane WA","881"
"Oregon","Yakima-Pasco-Richland-Kennewick WA","810"
"Pennsylvania","Buffalo NY","514"
"Pennsylvania","Elmira NY","565"
"Pennsylvania","Erie PA","516"
"Pennsylvania","Harrisburg-Lancaster-Lebanon-York PA","566"
"Pennsylvania","Johnstown-Altoona PA","574"
"Pennsylvania","New York NY","501"
"Pennsylvania","Philadelphia PA","504"
"Pennsylvania","Pittsburgh PA","508"
"Pennsylvania","Washington DC (Hagerstown MD)","511"
"Pennsylvania","Wilkes Barre-Scranton PA","577"
"Pennsylvania","Youngstown OH","536"
"Rhode Island","Providence RI-New Bedford MA","521"
"South Carolina","Augusta GA","520"
"South Carolina","Charleston SC","519"
"South Carolina","Charlotte NC","517"
"South Carolina","Columbia SC","546"
"South Carolina","Florence-Myrtle Beach SC","570"
"South Carolina","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567"
"South Carolina","Savannah GA","507"
"South Dakota","Minot-Bismarck-Dickinson(Williston) ND","687"
"South Dakota","Rapid City SD","764"
"South Dakota","Sioux City IA","624"
"South Dakota","Sioux Falls(Mitchell) SD","725"
"Tennessee","Chattanooga TN","575"
"Tennessee","Huntsville-Decatur (Florence) AL","691"
"Tennessee","Jackson TN","639"
"Tennessee","Knoxville TN","557"
"Tennessee","Memphis TN","640"
"Tennessee","Nashville TN","659"
"Tennessee","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632"
"Tennessee","Tri-Cities TN-VA","531"
"Texas","Abilene-Sweetwater TX","662"
"Texas","Amarillo TX","634"
"Texas","Austin TX","635"
"Texas","Beaumont-Port Arthur TX","692"
"Texas","Corpus Christi TX","600"
"Texas","Dallas-Ft. Worth TX","623"
"Texas","El Paso TX","765"
"Texas","Harlingen-Weslaco-Brownsville-McAllen TX","636"
"Texas","Houston TX","618"
"Texas","Laredo TX","749"
"Texas","Lubbock TX","651"
"Texas","Odessa-Midland TX","633"
"Texas","San Angelo TX","661"
"Texas","San Antonio TX","641"
"Texas","Sherman TX-Ada OK","657"
"Texas","Shreveport LA","612"
"Texas","Tyler-Longview(Lufkin & Nacogdoches) TX","709"
"Texas","Victoria TX","626"
"Texas","Waco-Temple-Bryan TX","625"
"Texas","Wichita Falls TX & Lawton OK","627"
"Utah","Salt Lake City UT","770"
"Vermont","Albany-Schenectady-Troy NY","532"
"Vermont","Boston MA-Manchester NH","506"
"Vermont","Burlington VT-Plattsburgh NY","523"
"Virginia","Bluefield-Beckley-Oak Hill WV","559"
"Virginia","Charlottesville VA","584"
"Virginia","Greensboro-High Point-Winston Salem NC","518"
"Virginia","Harrisonburg VA","569"
"Virginia","Norfolk-Portsmouth-Newport News VA","544"
"Virginia","Raleigh-Durham (Fayetteville) NC","560"
"Virginia","Richmond-Petersburg VA","556"
"Virginia","Roanoke-Lynchburg VA","573"
"Virginia","Tri-Cities TN-VA","531"
"Virginia","Washington DC (Hagerstown MD)","511"
"Washington","Portland OR","820"
"Washington","Seattle-Tacoma WA","819"
"Washington","Spokane WA","881"
"Washington","Yakima-Pasco-Richland-Kennewick WA","810"
"West Virginia","Bluefield-Beckley-Oak Hill WV","559"
"West Virginia","Charleston-Huntington WV","564"
"West Virginia","Clarksburg-Weston WV","598"
"West Virginia","Harrisonburg VA","569"
"West Virginia","Parkersburg WV","597"
"West Virginia","Pittsburgh PA","508"
"West Virginia","Roanoke-Lynchburg VA","573"
"West Virginia","Washington DC (Hagerstown MD)","511"
"West Virginia","Wheeling WV-Steubenville OH","554"
"Wisconsin","Cedar Rapids-Waterloo-Iowa City & Dubuque IA","637"
"Wisconsin","Duluth MN-Superior WI","676"
"Wisconsin","Green Bay-Appleton WI","658"
"Wisconsin","La Crosse-Eau Claire WI","702"
"Wisconsin","Madison WI","669"
"Wisconsin","Marquette MI","553"
"Wisconsin","Milwaukee WI","617"
"Wisconsin","Minneapolis-St. Paul MN","613"
"Wisconsin","Wausau-Rhinelander WI","705"
"Wyoming","Billings MT","756"
"Wyoming","Casper-Riverton WY","767"
"Wyoming","Cheyenne WY-Scottsbluff NE","759"
"Wyoming","Idaho Falls-Pocatello ID","758"
"Wyoming","Rapid City SD","764"
"Wyoming","Salt Lake City UT","770"
